PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9041,Insurance Claims and Policy Processing Clerks,detailed,1840,18.4,1.118,0.57,21.96,45670,1.7,15.26,17.78,21.33,24.65,29.78,31740,36990,44370,51280,61930,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,450,11.8,0.273,0.45,17.42,36230,2.7,11.51,13.34,17.21,20.91,23.89,23940,27750,35800,43500,49700,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9061,"Office Clerks, General",detailed,32930,3.5,19.989,0.96,19.73,41030,1.2,12.76,15.28,18.49,23.38,28.41,26550,31780,38460,48630,59090,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9071,"Office Machine Operators, Except Computer",detailed,640,28,0.389,1.01,16.22,33730,2.5,11.42,12.43,15.64,19.01,23.14,23760,25860,32520,39540,48120,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9081,Proofreaders and Copy Markers,detailed,230,30,0.14,1.74,23.22,48310,7.8,15.58,17.03,19.85,28.14,34.36,32420,35430,41300,58520,71460,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9111,Statistical Assistants,detailed,130,15.8,0.08,1.13,24.6,51170,2.6,17.13,20.26,24.63,28.78,31.48,35620,42150,51230,59860,65470,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",43-9199,"Office and Administrative Support Workers, All Other",detailed,3640,11.6,2.21,1.51,19.8,41180,1.9,13.11,15.35,19.47,22.98,25.59,27260,31930,40500,47790,53230,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-0000,"Farming, Fishing, and Forestry Occupations",major,2080,18.1,1.264,0.38,16.49,34300,3.7,11.2,11.75,14.33,19.29,26.24,23300,24440,29810,40130,54570,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,150,30.1,0.09,0.62,22.61,47020,7.4,10.16,12.82,25.37,28.81,32.98,21130,26670,52770,59930,68600,,
WA,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2011,Agricultural Inspectors,detailed,80,42.1,0.05,0.51,28.55,59390,2.3,22.16,25.87,27.89,31.81,35.58,46100,53810,58010,66160,74000,,
